                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.95101,                0.74602,                 0.9225,                      1,               0.000901
                      1,                0.58642,                 0.5261,                0.99875,                      1,               0.000802
                      2,                0.52396,                0.48743,                      1,                      1,               0.000703
                      3,                0.50356,                0.48718,                      1,                      1,               0.000604
                      4,                 0.4897,                0.47905,                      1,                      1,               0.000505
                      5,                0.48221,                0.47643,                      1,                      1,               0.000406
                      6,                0.47937,                0.47459,                      1,                      1,               0.000307
                      7,                  0.478,                0.47327,                      1,                      1,               0.000208
                      8,                0.47635,                0.47223,                      1,                      1,               0.000109
                      9,                0.47495,                0.47167,                      1,                      1,                  1e-05
